client_id,cons_price_idx,euribor_three_months
0,93.994,4.857
1,93.994,4.857
2,93.994,4.857
3,93.994,4.857
4,93.994,4.857
5,93.994,4.857
6,93.994,4.857
7,93.994,4.857
8,93.994,4.857
9,93.994,4.857
10,93.994,4.857
11,93.994,4.857
12,93.994,4.857
13,93.994,4.857
14,93.994,4.857
15,93.994,4.857
16,93.994,4.857
17,93.994,4.857
18,93.994,4.857
19,93.994,4.857
20,93.994,4.857
21,93.994,4.857
22,93.994,4.857
23,93.994,4.857
24,93.994,4.857
25,93.994,4.857
26,93.994,4.857
27,93.994,4.857
28,93.994,4.857
29,93.994,4.857
30,93.994,4.857
31,93.994,4.857
32,93.994,4.857
33,93.994,4.857
34,93.994,4.857
35,93.994,4.857
36,93.994,4.857
37,93.994,4.857
38,93.994,4.857
39,93.994,4.857
40,93.994,4.857
41,93.994,4.857
42,93.994,4.857
43,93.994,4.857
44,93.994,4.857
45,93.994,4.857
46,93.994,4.857
47,93.994,4.857
48,93.994,4.857
49,93.994,4.857
50,93.994,4.857
51,93.994,4.857
52,93.994,4.857
53,93.994,4.857
54,93.994,4.857
55,93.994,4.857
56,93.994,4.857
57,93.994,4.857
58,93.994,4.857
59,93.994,4.857
60,93.994,4.857
61,93.994,4.857
62,93.994,4.857
63,93.994,4.857
64,93.994,4.857
65,93.994,4.857
66,93.994,4.857
67,93.994,4.857
68,93.994,4.857
69,93.994,4.857
70,93.994,4.857
71,93.994,4.857
72,93.994,4.857
73,93.994,4.857
74,93.994,4.857
75,93.994,4.857
76,93.994,4.857
77,93.994,4.857
78,93.994,4.857
79,93.994,4.857
80,93.994,4.857
81,93.994,4.857
82,93.994,4.857
83,93.994,4.857
84,93.994,4.857
85,93.994,4.857
86,93.994,4.857
87,93.994,4.857
88,93.994,4.857
89,93.994,4.857
90,93.994,4.857
91,93.994,4.857
92,93.994,4.857
93,93.994,4.857
94,93.994,4.857
95,93.994,4.857
96,93.994,4.857
97,93.994,4.857
98,93.994,4.857
99,93.994,4.857
100,93.994,4.857
101,93.994,4.857
102,93.994,4.857
103,93.994,4.857
104,93.994,4.857
105,93.994,4.857
106,93.994,4.857
107,93.994,4.857
108,93.994,4.857
109,93.994,4.857
110,93.994,4.857
111,93.994,4.857
112,93.994,4.857
113,93.994,4.857
114,93.994,4.857
115,93.994,4.857
116,93.994,4.857
117,93.994,4.857
118,93.994,4.857
119,93.994,4.857
120,93.994,4.857
121,93.994,4.857
122,93.994,4.857
123,93.994,4.857
124,93.994,4.857
125,93.994,4.857
126,93.994,4.857
127,93.994,4.857
128,93.994,4.857
129,93.994,4.857
130,93.994,4.857
131,93.994,4.857
132,93.994,4.857
133,93.994,4.857
134,93.994,4.857
135,93.994,4.857
136,93.994,4.857
137,93.994,4.857
138,93.994,4.857
139,93.994,4.857
140,93.994,4.857
141,93.994,4.857
142,93.994,4.857
143,93.994,4.857
144,93.994,4.857
145,93.994,4.857
146,93.994,4.857
147,93.994,4.857
148,93.994,4.857
149,93.994,4.857
150,93.994,4.857
151,93.994,4.857
152,93.994,4.857
153,93.994,4.857
154,93.994,4.857
